Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-05-07 17:05:55,2018-05-07 17:06:26,30.391s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-05-07 17:05:56,2018-05-07 17:06:19,23.151s,PASSED
openBrowser,Firefox 56.0,,2018-05-07 17:05:56,2018-05-07 17:06:06,10.298s,PASSED
maximizeWindow,Firefox 56.0,,2018-05-07 17:06:06,2018-05-07 17:06:06,0.071s,PASSED
navigateToUrl,Firefox 56.0,,2018-05-07 17:06:06,2018-05-07 17:06:18,12.010s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-07 17:06:18,2018-05-07 17:06:18,0.079s,PASSED
click,Firefox 56.0,,2018-05-07 17:06:18,2018-05-07 17:06:19,0.436s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-05-07 17:06:19,2018-05-07 17:06:24,4.622s,PASSED
click,Firefox 56.0,,2018-05-07 17:06:19,2018-05-07 17:06:21,1.496s,PASSED
setText,Firefox 56.0,,2018-05-07 17:06:21,2018-05-07 17:06:23,2.363s,PASSED
setText,Firefox 56.0,,2018-05-07 17:06:23,2018-05-07 17:06:23,0.433s,PASSED
click,Firefox 56.0,,2018-05-07 17:06:23,2018-05-07 17:06:24,0.181s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-07 17:06:24,2018-05-07 17:06:24,0.031s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-05-07 17:06:24,2018-05-07 17:06:24,0.249s,PASSED
click,Firefox 56.0,,2018-05-07 17:06:24,2018-05-07 17:06:24,0.175s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-05-07 17:06:24,2018-05-07 17:06:26,1.791s,PASSED
click,Firefox 56.0,,2018-05-07 17:06:24,2018-05-07 17:06:26,1.706s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-05-07 17:06:26,2018-05-07 17:06:26,0.263s,PASSED
click,Firefox 56.0,,2018-05-07 17:06:26,2018-05-07 17:06:26,0.188s,PASSED
