Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-04 12:25:25,2018-06-04 12:31:58,6m - 33.615s,FAILED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-04 12:25:25,2018-06-04 12:25:26,0.832s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-04 12:25:25,2018-06-04 12:25:26,0.478s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-04 12:25:26,2018-06-04 12:27:06,1m - 40.406s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 12:25:26,2018-06-04 12:25:57,31.283s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 12:25:57,2018-06-04 12:25:58,0.107s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-04 12:25:58,2018-06-04 12:27:06,1m - 8.212s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 12:27:06,2018-06-04 12:27:06,0.226s,PASSED
click,Firefox 56.0,,2018-06-04 12:27:06,2018-06-04 12:27:06,0.321s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-04 12:27:06,2018-06-04 12:27:15,8.329s,PASSED
click,Firefox 56.0,,2018-06-04 12:27:06,2018-06-04 12:27:08,2.093s,PASSED
setText,Firefox 56.0,,2018-06-04 12:27:08,2018-06-04 12:27:14,5.511s,PASSED
setText,Firefox 56.0,,2018-06-04 12:27:14,2018-06-04 12:27:14,0.179s,PASSED
click,Firefox 56.0,,2018-06-04 12:27:14,2018-06-04 12:27:15,0.377s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 12:27:15,2018-06-04 12:27:15,0.067s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-04 12:27:15,2018-06-04 12:27:48,32.957s,PASSED
click,Firefox 56.0,,2018-06-04 12:27:15,2018-06-04 12:27:15,0.237s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 12:27:15,2018-06-04 12:27:48,32.622s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-04 12:27:48,2018-06-04 12:27:48,0.327s,PASSED
click,Firefox 56.0,,2018-06-04 12:27:48,2018-06-04 12:27:48,0.246s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-04 12:27:48,2018-06-04 12:27:48,0.346s,PASSED
click,Firefox 56.0,,2018-06-04 12:27:48,2018-06-04 12:27:48,0.266s,PASSED
,,,,,,
