Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-05 11:56:49,2018-06-05 11:58:27,1m - 37.431s,PASSED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-05 11:56:50,2018-06-05 11:56:50,0.435s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-05 11:56:50,2018-06-05 11:56:50,0.255s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-05 11:56:50,2018-06-05 11:57:20,29.889s,PASSED
openBrowser,Firefox 56.0,,2018-06-05 11:56:50,2018-06-05 11:57:02,11.243s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-05 11:57:02,2018-06-05 11:57:02,0.061s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-05 11:57:02,2018-06-05 11:57:20,18.188s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-05 11:57:20,2018-06-05 11:57:20,0.106s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:20,2018-06-05 11:57:20,0.203s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-05 11:57:20,2018-06-05 11:57:25,4.647s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:20,2018-06-05 11:57:22,1.548s,PASSED
setText,Firefox 56.0,,2018-06-05 11:57:22,2018-06-05 11:57:24,2.183s,PASSED
setText,Firefox 56.0,,2018-06-05 11:57:24,2018-06-05 11:57:25,0.634s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:25,2018-06-05 11:57:25,0.146s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:57:25,2018-06-05 11:57:25,0.054s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-05 11:57:25,2018-06-05 11:57:27,2.306s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:25,2018-06-05 11:57:25,0.162s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-05 11:57:25,2018-06-05 11:57:27,2.076s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-05 11:57:27,2018-06-05 11:57:27,0.231s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:27,2018-06-05 11:57:27,0.166s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-05 11:57:27,2018-06-05 11:57:38,10.325s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:27,2018-06-05 11:57:28,0.190s,PASSED
getText,Firefox 56.0,,2018-06-05 11:57:28,2018-06-05 11:57:38,10.056s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-05 11:57:38,2018-06-05 11:57:48,10.494s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:38,2018-06-05 11:57:48,10.433s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-05 11:57:48,2018-06-05 11:57:51,2.876s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:48,2018-06-05 11:57:49,0.267s,PASSED
getText,Firefox 56.0,,2018-06-05 11:57:49,2018-06-05 11:57:51,2.320s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:51,2018-06-05 11:57:51,0.149s,PASSED
getText,Firefox 56.0,,2018-06-05 11:57:51,2018-06-05 11:57:51,0.063s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-05 11:57:51,2018-06-05 11:57:51,0.394s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:57:51,2018-06-05 11:57:51,0.027s,PASSED
getText,Firefox 56.0,,2018-06-05 11:57:51,2018-06-05 11:57:51,0.063s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:51,2018-06-05 11:57:51,0.232s,PASSED
,,,,,,
Test Cases/Navigation to Offert Popup,Firefox 56.0,,2018-06-05 11:57:51,2018-06-05 11:57:54,3.035s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:52,2018-06-05 11:57:54,2.968s,PASSED
,,,,,,
Test Cases/Fill into Offert Form,Firefox 56.0,,2018-06-05 11:57:54,2018-06-05 11:57:56,1.214s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:55,2018-06-05 11:57:55,0.354s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:55,2018-06-05 11:57:55,0.196s,PASSED
selectOptionByLabel,Firefox 56.0,,2018-06-05 11:57:55,2018-06-05 11:57:56,0.455s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:56,2018-06-05 11:57:56,0.144s,PASSED
,,,,,,
Test Cases/Accept OFFERTFORFRAGAN popup,Firefox 56.0,,2018-06-05 11:57:56,2018-06-05 11:57:57,1.663s,PASSED
click,Firefox 56.0,,2018-06-05 11:57:56,2018-06-05 11:57:57,1.475s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:57:57,2018-06-05 11:57:57,0.124s,PASSED
,,,,,,
