Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Chrome 66.0.3359.139,,2018-05-08 11:50:12,2018-05-08 11:51:55,1m - 42.734s,FAILED
,,,,,,
Test Cases/Clear cache,Chrome 66.0.3359.139,,2018-05-08 11:50:12,2018-05-08 11:50:13,0.517s,PASSED
deleteAllCookies,Chrome 66.0.3359.139,,2018-05-08 11:50:13,2018-05-08 11:50:13,0.264s,PASSED
,,,,,,
Test Cases/Start page,Chrome 66.0.3359.139,,2018-05-08 11:50:13,2018-05-08 11:50:40,27.155s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 11:50:13,2018-05-08 11:50:15,2.485s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-08 11:50:15,2018-05-08 11:50:17,1.168s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 11:50:17,2018-05-08 11:50:30,13.699s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-08 11:50:30,2018-05-08 11:50:30,0.044s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:50:30,2018-05-08 11:50:40,9.621s,PASSED
,,,,,,
Test Cases/Customer-Login,Chrome 66.0.3359.139,,2018-05-08 11:50:40,2018-05-08 11:50:42,2.435s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:50:40,2018-05-08 11:50:42,2.019s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 11:50:42,2018-05-08 11:50:42,0.161s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 11:50:42,2018-05-08 11:50:42,0.089s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:50:42,2018-05-08 11:50:42,0.063s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-08 11:50:42,2018-05-08 11:50:42,0.010s,PASSED
,,,,,,
Test Cases/Move to Start Page,Chrome 66.0.3359.139,,2018-05-08 11:50:42,2018-05-08 11:50:43,0.834s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:50:43,2018-05-08 11:50:43,0.758s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Chrome 66.0.3359.139,,2018-05-08 11:50:43,2018-05-08 11:51:06,22.342s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:50:43,2018-05-08 11:51:06,22.227s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Chrome 66.0.3359.139,,2018-05-08 11:51:06,2018-05-08 11:51:14,7.966s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:51:06,2018-05-08 11:51:14,7.898s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Chrome 66.0.3359.139,,2018-05-08 11:51:14,2018-05-08 11:51:22,8.467s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:51:14,2018-05-08 11:51:22,8.398s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Chrome 66.0.3359.139,,2018-05-08 11:51:22,2018-05-08 11:51:22,0.389s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:51:22,2018-05-08 11:51:22,0.105s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:51:22,2018-05-08 11:51:22,0.094s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:51:22,2018-05-08 11:51:22,0.085s,PASSED
,,,,,,
Test Cases/Save Configuration,Chrome 66.0.3359.139,,2018-05-08 11:51:22,2018-05-08 11:51:55,32.313s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 11:51:23,2018-05-08 11:51:55,32.229s,FAILED
