Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Chrome 66.0.3359.139,,2018-05-08 12:21:24,2018-05-08 12:25:10,3m - 45.732s,FAILED
,,,,,,
Test Cases/Clear cache,Chrome 66.0.3359.139,,2018-05-08 12:21:25,2018-05-08 12:21:25,0.623s,PASSED
deleteAllCookies,Chrome 66.0.3359.139,,2018-05-08 12:21:25,2018-05-08 12:21:25,0.338s,PASSED
,,,,,,
Test Cases/Start page,Chrome 66.0.3359.139,,2018-05-08 12:21:25,2018-05-08 12:21:57,31.350s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 12:21:26,2018-05-08 12:21:29,3.055s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-08 12:21:29,2018-05-08 12:21:30,1.145s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 12:21:30,2018-05-08 12:21:46,16.007s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-08 12:21:46,2018-05-08 12:21:46,0.062s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 12:21:46,2018-05-08 12:21:57,10.909s,PASSED
,,,,,,
Test Cases/Customer-Login,Chrome 66.0.3359.139,,2018-05-08 12:21:57,2018-05-08 12:21:59,2.775s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 12:21:57,2018-05-08 12:21:59,2.322s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 12:21:59,2018-05-08 12:21:59,0.170s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 12:21:59,2018-05-08 12:21:59,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 12:21:59,2018-05-08 12:21:59,0.068s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-08 12:21:59,2018-05-08 12:21:59,0.007s,PASSED
,,,,,,
Test Cases/Move to Start Page,Chrome 66.0.3359.139,,2018-05-08 12:21:59,2018-05-08 12:22:00,0.325s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 12:22:00,2018-05-08 12:22:00,0.235s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Chrome 66.0.3359.139,,2018-05-08 12:22:00,2018-05-08 12:22:33,32.797s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 12:22:00,2018-05-08 12:22:33,32.696s,FAILED
,,,,,,
Test Cases/Select Municiplality from Start page,Chrome 66.0.3359.139,,2018-05-08 12:22:33,2018-05-08 12:23:04,31.451s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 12:22:33,2018-05-08 12:23:04,31.353s,FAILED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Chrome 66.0.3359.139,,2018-05-08 12:23:04,2018-05-08 12:23:36,31.430s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 12:23:04,2018-05-08 12:23:36,31.325s,FAILED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Chrome 66.0.3359.139,,2018-05-08 12:23:36,2018-05-08 12:24:07,31.417s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 12:23:36,2018-05-08 12:24:07,31.273s,FAILED
,,,,,,
Test Cases/Save Configuration,Chrome 66.0.3359.139,,2018-05-08 12:24:07,2018-05-08 12:24:39,31.829s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 12:24:07,2018-05-08 12:24:39,31.614s,FAILED
,,,,,,
Test Cases/Navigation to Offert Popup,Chrome 66.0.3359.139,,2018-05-08 12:24:39,2018-05-08 12:25:10,31.314s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 12:24:39,2018-05-08 12:25:10,31.238s,FAILED
