Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-05-08 09:55:33,2018-05-08 09:56:44,1m - 11.226s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-05-08 09:55:33,2018-05-08 09:56:18,45.122s,PASSED
openBrowser,Firefox 56.0,,2018-05-08 09:55:33,2018-05-08 09:55:46,12.722s,PASSED
maximizeWindow,Firefox 56.0,,2018-05-08 09:55:46,2018-05-08 09:55:46,0.085s,PASSED
navigateToUrl,Firefox 56.0,,2018-05-08 09:55:46,2018-05-08 09:56:18,31.744s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-08 09:56:18,2018-05-08 09:56:18,0.072s,PASSED
click,Firefox 56.0,,2018-05-08 09:56:18,2018-05-08 09:56:18,0.263s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-05-08 09:56:18,2018-05-08 09:56:23,4.721s,PASSED
click,Firefox 56.0,,2018-05-08 09:56:18,2018-05-08 09:56:20,1.767s,PASSED
setText,Firefox 56.0,,2018-05-08 09:56:20,2018-05-08 09:56:22,2.169s,PASSED
setText,Firefox 56.0,,2018-05-08 09:56:22,2018-05-08 09:56:23,0.453s,PASSED
click,Firefox 56.0,,2018-05-08 09:56:23,2018-05-08 09:56:23,0.150s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-08 09:56:23,2018-05-08 09:56:23,0.028s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-05-08 09:56:23,2018-05-08 09:56:23,0.251s,PASSED
click,Firefox 56.0,,2018-05-08 09:56:23,2018-05-08 09:56:23,0.184s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-05-08 09:56:23,2018-05-08 09:56:25,2.143s,PASSED
click,Firefox 56.0,,2018-05-08 09:56:23,2018-05-08 09:56:25,2.068s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-05-08 09:56:25,2018-05-08 09:56:26,0.290s,PASSED
click,Firefox 56.0,,2018-05-08 09:56:25,2018-05-08 09:56:26,0.217s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-05-08 09:56:26,2018-05-08 09:56:44,18.280s,PASSED
click,Firefox 56.0,,2018-05-08 09:56:26,2018-05-08 09:56:44,18.210s,PASSED
