Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-05 11:48:09,2018-06-05 11:50:04,1m - 55.485s,PASSED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-05 11:48:09,2018-06-05 11:48:10,0.524s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-05 11:48:09,2018-06-05 11:48:10,0.302s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-05 11:48:10,2018-06-05 11:48:44,34.317s,PASSED
openBrowser,Firefox 56.0,,2018-06-05 11:48:10,2018-06-05 11:48:28,18.371s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-05 11:48:28,2018-06-05 11:48:28,0.054s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-05 11:48:28,2018-06-05 11:48:44,15.264s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-05 11:48:44,2018-06-05 11:48:44,0.152s,PASSED
click,Firefox 56.0,,2018-06-05 11:48:44,2018-06-05 11:48:44,0.340s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-05 11:48:44,2018-06-05 11:48:49,5.354s,PASSED
click,Firefox 56.0,,2018-06-05 11:48:44,2018-06-05 11:48:46,1.490s,PASSED
setText,Firefox 56.0,,2018-06-05 11:48:46,2018-06-05 11:48:49,3.003s,PASSED
setText,Firefox 56.0,,2018-06-05 11:48:49,2018-06-05 11:48:49,0.486s,PASSED
click,Firefox 56.0,,2018-06-05 11:48:49,2018-06-05 11:48:49,0.176s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:48:49,2018-06-05 11:48:49,0.049s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-05 11:48:49,2018-06-05 11:48:51,1.897s,PASSED
click,Firefox 56.0,,2018-06-05 11:48:49,2018-06-05 11:48:50,0.214s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-05 11:48:50,2018-06-05 11:48:51,1.585s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-05 11:48:51,2018-06-05 11:48:52,0.268s,PASSED
click,Firefox 56.0,,2018-06-05 11:48:51,2018-06-05 11:48:52,0.181s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-05 11:48:52,2018-06-05 11:49:04,12.184s,PASSED
click,Firefox 56.0,,2018-06-05 11:48:52,2018-06-05 11:48:52,0.189s,PASSED
getText,Firefox 56.0,,2018-06-05 11:48:52,2018-06-05 11:49:04,11.921s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-05 11:49:04,2018-06-05 11:49:19,15.437s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:04,2018-06-05 11:49:19,15.362s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-05 11:49:19,2018-06-05 11:49:22,2.604s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:19,2018-06-05 11:49:20,0.359s,PASSED
getText,Firefox 56.0,,2018-06-05 11:49:20,2018-06-05 11:49:22,1.816s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:22,0.192s,PASSED
getText,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:22,0.057s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:22,0.434s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:22,0.055s,PASSED
getText,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:22,0.112s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:22,0.188s,PASSED
,,,,,,
Test Cases/Navigation to Offert Popup,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:30,7.732s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:22,2018-06-05 11:49:30,7.628s,PASSED
,,,,,,
Test Cases/Fill into Offert Form,Firefox 56.0,,2018-06-05 11:49:30,2018-06-05 11:49:31,1.384s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:30,2018-06-05 11:49:30,0.363s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:30,2018-06-05 11:49:31,0.238s,PASSED
selectOptionByLabel,Firefox 56.0,,2018-06-05 11:49:31,2018-06-05 11:49:31,0.462s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:31,2018-06-05 11:49:31,0.257s,PASSED
,,,,,,
Test Cases/Accept OFFERTFORFRAGAN popup,Firefox 56.0,,2018-06-05 11:49:31,2018-06-05 11:49:34,2.655s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:31,2018-06-05 11:49:34,2.523s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:49:34,2018-06-05 11:49:34,0.061s,PASSED
,,,,,,
Test Cases/Move to Compilation Page,Firefox 56.0,,2018-06-05 11:49:34,2018-06-05 11:49:43,8.972s,PASSED
scrollToElement,Firefox 56.0,,2018-06-05 11:49:34,2018-06-05 11:49:40,6.063s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:40,2018-06-05 11:49:43,2.783s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:49:43,2018-06-05 11:49:43,0.026s,PASSED
,,,,,,
Test Cases/Visit Seller Portal,Firefox 56.0,,2018-06-05 11:49:43,2018-06-05 11:49:57,13.813s,PASSED
openBrowser,Firefox 56.0,,2018-06-05 11:49:43,2018-06-05 11:49:57,13.599s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-05 11:49:57,2018-06-05 11:49:57,0.136s,PASSED
,,,,,,
Test Cases/Seller Login,Firefox 56.0,,2018-06-05 11:49:57,2018-06-05 11:50:04,7.564s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:57,2018-06-05 11:49:57,0.347s,PASSED
sendKeys,Firefox 56.0,,2018-06-05 11:49:57,2018-06-05 11:49:58,0.300s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:58,2018-06-05 11:49:58,0.494s,PASSED
sendKeys,Firefox 56.0,,2018-06-05 11:49:58,2018-06-05 11:49:58,0.242s,PASSED
click,Firefox 56.0,,2018-06-05 11:49:58,2018-06-05 11:50:04,6.021s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:50:04,2018-06-05 11:50:04,0.052s,PASSED
