Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-05 11:50:07,2018-06-05 11:51:49,1m - 42.506s,PASSED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-05 11:50:07,2018-06-05 11:50:07,0.463s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-05 11:50:07,2018-06-05 11:50:07,0.244s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-05 11:50:07,2018-06-05 11:50:43,35.072s,PASSED
openBrowser,Firefox 56.0,,2018-06-05 11:50:08,2018-06-05 11:50:17,9.631s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-05 11:50:17,2018-06-05 11:50:17,0.065s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-05 11:50:17,2018-06-05 11:50:42,24.895s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-05 11:50:42,2018-06-05 11:50:42,0.110s,PASSED
click,Firefox 56.0,,2018-06-05 11:50:42,2018-06-05 11:50:43,0.280s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-05 11:50:43,2018-06-05 11:50:48,5.246s,PASSED
click,Firefox 56.0,,2018-06-05 11:50:43,2018-06-05 11:50:45,2.021s,PASSED
setText,Firefox 56.0,,2018-06-05 11:50:45,2018-06-05 11:50:47,2.444s,PASSED
setText,Firefox 56.0,,2018-06-05 11:50:47,2018-06-05 11:50:48,0.462s,PASSED
click,Firefox 56.0,,2018-06-05 11:50:48,2018-06-05 11:50:48,0.154s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:50:48,2018-06-05 11:50:48,0.046s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-05 11:50:48,2018-06-05 11:50:50,2.582s,PASSED
click,Firefox 56.0,,2018-06-05 11:50:48,2018-06-05 11:50:48,0.161s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-05 11:50:48,2018-06-05 11:50:50,2.345s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-05 11:50:50,2018-06-05 11:50:51,0.247s,PASSED
click,Firefox 56.0,,2018-06-05 11:50:50,2018-06-05 11:50:51,0.173s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-05 11:50:51,2018-06-05 11:51:03,12.076s,PASSED
click,Firefox 56.0,,2018-06-05 11:50:51,2018-06-05 11:50:51,0.207s,PASSED
getText,Firefox 56.0,,2018-06-05 11:50:51,2018-06-05 11:51:03,11.802s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-05 11:51:03,2018-06-05 11:51:13,9.957s,PASSED
click,Firefox 56.0,,2018-06-05 11:51:03,2018-06-05 11:51:13,9.881s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-05 11:51:13,2018-06-05 11:51:16,3.413s,PASSED
click,Firefox 56.0,,2018-06-05 11:51:13,2018-06-05 11:51:14,1.629s,PASSED
getText,Firefox 56.0,,2018-06-05 11:51:14,2018-06-05 11:51:16,1.430s,PASSED
click,Firefox 56.0,,2018-06-05 11:51:16,2018-06-05 11:51:16,0.179s,PASSED
getText,Firefox 56.0,,2018-06-05 11:51:16,2018-06-05 11:51:16,0.067s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-05 11:51:16,2018-06-05 11:51:17,0.411s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-05 11:51:16,2018-06-05 11:51:16,0.031s,PASSED
