Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-04 12:54:20,2018-06-04 12:57:14,2m - 53.347s,FAILED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-04 12:54:21,2018-06-04 12:54:22,1.056s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-04 12:54:21,2018-06-04 12:54:22,0.868s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-04 12:54:22,2018-06-04 12:54:56,33.933s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 12:54:22,2018-06-04 12:54:34,12.175s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 12:54:34,2018-06-04 12:54:34,0.071s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-04 12:54:34,2018-06-04 12:54:54,20.279s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 12:54:54,2018-06-04 12:54:55,0.453s,PASSED
click,Firefox 56.0,,2018-06-04 12:54:55,2018-06-04 12:54:56,0.827s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-04 12:54:56,2018-06-04 12:55:04,8.613s,PASSED
click,Firefox 56.0,,2018-06-04 12:54:56,2018-06-04 12:54:59,2.870s,PASSED
setText,Firefox 56.0,,2018-06-04 12:54:59,2018-06-04 12:55:02,2.974s,PASSED
setText,Firefox 56.0,,2018-06-04 12:55:02,2018-06-04 12:55:02,0.356s,PASSED
click,Firefox 56.0,,2018-06-04 12:55:02,2018-06-04 12:55:03,0.564s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 12:55:03,2018-06-04 12:55:04,1.684s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-04 12:55:04,2018-06-04 12:55:06,1.975s,PASSED
click,Firefox 56.0,,2018-06-04 12:55:04,2018-06-04 12:55:05,0.271s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 12:55:05,2018-06-04 12:55:06,1.604s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-04 12:55:06,2018-06-04 12:55:07,0.489s,PASSED
click,Firefox 56.0,,2018-06-04 12:55:06,2018-06-04 12:55:07,0.305s,PASSED
,,,,,,
