Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-04 14:14:16,2018-06-04 14:19:25,5m - 8.896s,FAILED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-04 14:14:17,2018-06-04 14:14:18,0.879s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-04 14:14:17,2018-06-04 14:14:18,0.663s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-04 14:14:18,2018-06-04 14:14:47,29.541s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:14:18,2018-06-04 14:14:31,13.330s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:14:31,2018-06-04 14:14:31,0.179s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-04 14:14:31,2018-06-04 14:14:46,15.148s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:14:46,2018-06-04 14:14:47,0.264s,PASSED
click,Firefox 56.0,,2018-06-04 14:14:47,2018-06-04 14:14:47,0.504s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-04 14:14:47,2018-06-04 14:15:04,17.059s,PASSED
click,Firefox 56.0,,2018-06-04 14:14:47,2018-06-04 14:14:52,4.440s,PASSED
setText,Firefox 56.0,,2018-06-04 14:14:52,2018-06-04 14:15:04,11.834s,PASSED
setText,Firefox 56.0,,2018-06-04 14:15:04,2018-06-04 14:15:04,0.459s,PASSED
click,Firefox 56.0,,2018-06-04 14:15:04,2018-06-04 14:15:04,0.184s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:15:04,2018-06-04 14:15:04,0.057s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-04 14:15:04,2018-06-04 14:15:38,34.060s,PASSED
click,Firefox 56.0,,2018-06-04 14:15:04,2018-06-04 14:15:05,0.219s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:15:05,2018-06-04 14:15:38,33.768s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-04 14:15:38,2018-06-04 14:15:39,0.298s,PASSED
click,Firefox 56.0,,2018-06-04 14:15:38,2018-06-04 14:15:39,0.198s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-04 14:15:39,2018-06-04 14:15:39,0.387s,PASSED
click,Firefox 56.0,,2018-06-04 14:15:39,2018-06-04 14:15:39,0.290s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-04 14:15:39,2018-06-04 14:16:07,28.007s,PASSED
click,Firefox 56.0,,2018-06-04 14:15:39,2018-06-04 14:16:07,27.865s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-04 14:16:07,2018-06-04 14:16:09,1.822s,PASSED
click,Firefox 56.0,,2018-06-04 14:16:07,2018-06-04 14:16:07,0.299s,PASSED
click,Firefox 56.0,,2018-06-04 14:16:07,2018-06-04 14:16:09,1.406s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-04 14:16:09,2018-06-04 14:16:44,35.435s,FAILED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:16:09,2018-06-04 14:16:09,0.179s,PASSED
getText,Firefox 56.0,,2018-06-04 14:16:09,2018-06-04 14:16:10,0.325s,PASSED
click,Firefox 56.0,,2018-06-04 14:16:10,2018-06-04 14:16:44,34.752s,FAILED
,,,,,,
Test Cases/Navigation to Offert Popup,Firefox 56.0,,2018-06-04 14:16:44,2018-06-04 14:17:18,33.946s,FAILED
click,Firefox 56.0,,2018-06-04 14:16:44,2018-06-04 14:17:18,33.862s,FAILED
,,,,,,
Test Cases/Fill into Offert Form,Firefox 56.0,,2018-06-04 14:17:18,2018-06-04 14:17:52,34.103s,FAILED
click,Firefox 56.0,,2018-06-04 14:17:18,2018-06-04 14:17:52,33.947s,FAILED
,,,,,,
Test Cases/Accept OFFERTFORFRAGAN popup,Firefox 56.0,,2018-06-04 14:17:52,2018-06-04 14:18:26,33.849s,FAILED
click,Firefox 56.0,,2018-06-04 14:17:52,2018-06-04 14:18:26,33.751s,FAILED
,,,,,,
Test Cases/Move to Compilation Page,Firefox 56.0,,2018-06-04 14:18:26,2018-06-04 14:19:00,33.831s,FAILED
scrollToElement,Firefox 56.0,,2018-06-04 14:18:26,2018-06-04 14:19:00,33.686s,FAILED
,,,,,,
Test Cases/Visit Seller Portal,Firefox 56.0,,2018-06-04 14:19:00,2018-06-04 14:19:17,16.822s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:19:00,2018-06-04 14:19:17,16.349s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:19:17,2018-06-04 14:19:17,0.350s,PASSED
,,,,,,
Test Cases/Seller Login,Firefox 56.0,,2018-06-04 14:19:17,2018-06-04 14:19:25,8.429s,PASSED
click,Firefox 56.0,,2018-06-04 14:19:17,2018-06-04 14:19:17,0.392s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:19:17,2018-06-04 14:19:18,0.217s,PASSED
click,Firefox 56.0,,2018-06-04 14:19:18,2018-06-04 14:19:18,0.763s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:19:18,2018-06-04 14:19:18,0.118s,PASSED
click,Firefox 56.0,,2018-06-04 14:19:18,2018-06-04 14:19:25,6.768s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:19:25,2018-06-04 14:19:25,0.048s,PASSED
