Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-04 14:28:11,2018-06-04 14:30:55,2m - 43.805s,FAILED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-04 14:28:11,2018-06-04 14:28:12,0.585s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-04 14:28:11,2018-06-04 14:28:12,0.319s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-04 14:28:12,2018-06-04 14:28:33,21.087s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:28:12,2018-06-04 14:28:23,10.928s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:28:23,2018-06-04 14:28:23,0.048s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-04 14:28:23,2018-06-04 14:28:32,9.501s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:28:32,2018-06-04 14:28:32,0.186s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:32,2018-06-04 14:28:33,0.327s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-04 14:28:33,2018-06-04 14:28:38,4.717s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:33,2018-06-04 14:28:34,1.571s,PASSED
setText,Firefox 56.0,,2018-06-04 14:28:34,2018-06-04 14:28:37,2.291s,PASSED
setText,Firefox 56.0,,2018-06-04 14:28:37,2018-06-04 14:28:37,0.558s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:37,2018-06-04 14:28:37,0.160s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:28:37,2018-06-04 14:28:38,0.059s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-04 14:28:38,2018-06-04 14:28:39,1.901s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:38,2018-06-04 14:28:38,0.229s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:28:38,2018-06-04 14:28:39,1.590s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-04 14:28:39,2018-06-04 14:28:40,0.221s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:39,2018-06-04 14:28:40,0.154s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-04 14:28:40,2018-06-04 14:28:40,0.247s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:40,2018-06-04 14:28:40,0.183s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-04 14:28:40,2018-06-04 14:29:07,27.073s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:40,2018-06-04 14:29:07,27.001s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-04 14:29:07,2018-06-04 14:29:09,1.753s,PASSED
click,Firefox 56.0,,2018-06-04 14:29:07,2018-06-04 14:29:07,0.259s,PASSED
click,Firefox 56.0,,2018-06-04 14:29:07,2018-06-04 14:29:09,1.406s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-04 14:29:09,2018-06-04 14:29:09,0.429s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:29:09,2018-06-04 14:29:09,0.036s,PASSED
getText,Firefox 56.0,,2018-06-04 14:29:09,2018-06-04 14:29:09,0.124s,PASSED
click,Firefox 56.0,,2018-06-04 14:29:09,2018-06-04 14:29:09,0.179s,PASSED
,,,,,,
Test Cases/Navigation to Offert Popup,Firefox 56.0,,2018-06-04 14:29:09,2018-06-04 14:29:11,2.335s,PASSED
click,Firefox 56.0,,2018-06-04 14:29:09,2018-06-04 14:29:11,2.272s,PASSED
,,,,,,
Test Cases/Fill into Offert Form,Firefox 56.0,,2018-06-04 14:29:11,2018-06-04 14:29:13,1.267s,PASSED
click,Firefox 56.0,,2018-06-04 14:29:12,2018-06-04 14:29:12,0.382s,PASSED
click,Firefox 56.0,,2018-06-04 14:29:12,2018-06-04 14:29:12,0.259s,PASSED
selectOptionByLabel,Firefox 56.0,,2018-06-04 14:29:12,2018-06-04 14:29:13,0.404s,PASSED
click,Firefox 56.0,,2018-06-04 14:29:13,2018-06-04 14:29:13,0.158s,PASSED
,,,,,,
Test Cases/Accept OFFERTFORFRAGAN popup,Firefox 56.0,,2018-06-04 14:29:13,2018-06-04 14:29:46,33.679s,FAILED
click,Firefox 56.0,,2018-06-04 14:29:13,2018-06-04 14:29:46,33.614s,FAILED
,,,,,,
Test Cases/Move to Compilation Page,Firefox 56.0,,2018-06-04 14:29:46,2018-06-04 14:30:20,33.275s,FAILED
scrollToElement,Firefox 56.0,,2018-06-04 14:29:47,2018-06-04 14:30:20,33.200s,FAILED
,,,,,,
Test Cases/Visit Seller Portal,Firefox 56.0,,2018-06-04 14:30:20,2018-06-04 14:30:37,17.049s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:30:20,2018-06-04 14:30:37,16.929s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:30:37,2018-06-04 14:30:37,0.048s,PASSED
,,,,,,
Test Cases/Seller Login,Firefox 56.0,,2018-06-04 14:30:37,2018-06-04 14:30:55,17.844s,PASSED
click,Firefox 56.0,,2018-06-04 14:30:37,2018-06-04 14:30:37,0.239s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:30:37,2018-06-04 14:30:37,0.205s,PASSED
click,Firefox 56.0,,2018-06-04 14:30:37,2018-06-04 14:30:38,0.385s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:30:38,2018-06-04 14:30:38,0.232s,PASSED
click,Firefox 56.0,,2018-06-04 14:30:38,2018-06-04 14:30:55,16.672s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:30:55,2018-06-04 14:30:55,0.032s,PASSED
