Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Chrome 66.0.3359.139,,2018-05-08 11:45:26,2018-05-08 11:48:40,3m - 14.195s,FAILED
,,,,,,
Test Cases/Clear cache,Chrome 66.0.3359.139,,2018-05-08 11:45:26,2018-05-08 11:45:27,0.535s,PASSED
deleteAllCookies,Chrome 66.0.3359.139,,2018-05-08 11:45:27,2018-05-08 11:45:27,0.273s,PASSED
,,,,,,
Test Cases/Start page,Chrome 66.0.3359.139,,2018-05-08 11:45:27,2018-05-08 11:45:55,28.376s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 11:45:27,2018-05-08 11:45:30,2.958s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-08 11:45:30,2018-05-08 11:45:31,1.149s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 11:45:31,2018-05-08 11:45:44,13.318s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-08 11:45:44,2018-05-08 11:45:44,0.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:45:44,2018-05-08 11:45:55,10.780s,PASSED
,,,,,,
Test Cases/Customer-Login,Chrome 66.0.3359.139,,2018-05-08 11:45:55,2018-05-08 11:45:57,2.165s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:45:55,2018-05-08 11:45:57,1.764s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 11:45:57,2018-05-08 11:45:57,0.152s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 11:45:57,2018-05-08 11:45:57,0.087s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:45:57,2018-05-08 11:45:57,0.069s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-08 11:45:57,2018-05-08 11:45:57,0.007s,PASSED
,,,,,,
Test Cases/Move to Start Page,Chrome 66.0.3359.139,,2018-05-08 11:45:57,2018-05-08 11:45:59,1.273s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 11:45:58,2018-05-08 11:45:59,1.187s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Chrome 66.0.3359.139,,2018-05-08 11:45:59,2018-05-08 11:46:31,32.518s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 11:45:59,2018-05-08 11:46:31,32.418s,FAILED
,,,,,,
Test Cases/Select Municiplality from Start page,Chrome 66.0.3359.139,,2018-05-08 11:46:31,2018-05-08 11:47:03,32.222s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 11:46:31,2018-05-08 11:47:03,32.160s,FAILED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Chrome 66.0.3359.139,,2018-05-08 11:47:03,2018-05-08 11:47:36,32.243s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 11:47:04,2018-05-08 11:47:36,32.169s,FAILED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Chrome 66.0.3359.139,,2018-05-08 11:47:36,2018-05-08 11:48:08,32.233s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 11:47:36,2018-05-08 11:48:08,32.143s,FAILED
,,,,,,
Test Cases/Save Configuration,Chrome 66.0.3359.139,,2018-05-08 11:48:08,2018-05-08 11:48:40,32.312s,FAILED
click,Chrome 66.0.3359.139,,2018-05-08 11:48:08,2018-05-08 11:48:40,32.216s,FAILED
