Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-04 17:52:18,2018-06-04 17:55:10,2m - 51.900s,FAILED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-04 17:52:18,2018-06-04 17:52:19,0.542s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-04 17:52:18,2018-06-04 17:52:19,0.281s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-04 17:52:19,2018-06-04 17:52:51,32.683s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 17:52:19,2018-06-04 17:52:30,11.306s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 17:52:30,2018-06-04 17:52:30,0.160s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-04 17:52:30,2018-06-04 17:52:51,20.691s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 17:52:51,2018-06-04 17:52:51,0.120s,PASSED
click,Firefox 56.0,,2018-06-04 17:52:51,2018-06-04 17:52:51,0.283s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-04 17:52:51,2018-06-04 17:52:56,4.490s,PASSED
click,Firefox 56.0,,2018-06-04 17:52:51,2018-06-04 17:52:53,1.582s,PASSED
setText,Firefox 56.0,,2018-06-04 17:52:53,2018-06-04 17:52:55,2.149s,PASSED
setText,Firefox 56.0,,2018-06-04 17:52:55,2018-06-04 17:52:56,0.430s,PASSED
click,Firefox 56.0,,2018-06-04 17:52:56,2018-06-04 17:52:56,0.185s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 17:52:56,2018-06-04 17:52:56,0.051s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-04 17:52:56,2018-06-04 17:52:58,2.481s,PASSED
click,Firefox 56.0,,2018-06-04 17:52:56,2018-06-04 17:52:56,0.184s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 17:52:56,2018-06-04 17:52:58,2.222s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-04 17:52:58,2018-06-04 17:52:59,0.230s,PASSED
click,Firefox 56.0,,2018-06-04 17:52:58,2018-06-04 17:52:59,0.155s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-04 17:52:59,2018-06-04 17:53:09,10.637s,PASSED
click,Firefox 56.0,,2018-06-04 17:52:59,2018-06-04 17:52:59,0.202s,PASSED
getText,Firefox 56.0,,2018-06-04 17:52:59,2018-06-04 17:53:09,10.357s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-04 17:53:09,2018-06-04 17:53:19,10.187s,PASSED
click,Firefox 56.0,,2018-06-04 17:53:09,2018-06-04 17:53:19,10.102s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-04 17:53:19,2018-06-04 17:53:22,2.269s,PASSED
click,Firefox 56.0,,2018-06-04 17:53:20,2018-06-04 17:53:20,0.263s,PASSED
click,Firefox 56.0,,2018-06-04 17:53:20,2018-06-04 17:53:22,1.922s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-04 17:53:22,2018-06-04 17:53:22,0.586s,PASSED
