Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-04 14:25:20,2018-06-04 14:28:08,2m - 48.160s,FAILED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-04 14:25:20,2018-06-04 14:25:21,0.516s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-04 14:25:20,2018-06-04 14:25:21,0.303s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-04 14:25:21,2018-06-04 14:25:48,27.161s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:25:21,2018-06-04 14:25:31,10.285s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:25:31,2018-06-04 14:25:31,0.066s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-04 14:25:31,2018-06-04 14:25:47,16.283s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:25:47,2018-06-04 14:25:47,0.122s,PASSED
click,Firefox 56.0,,2018-06-04 14:25:47,2018-06-04 14:25:48,0.296s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-04 14:25:48,2018-06-04 14:25:53,5.013s,PASSED
click,Firefox 56.0,,2018-06-04 14:25:48,2018-06-04 14:25:50,1.899s,PASSED
setText,Firefox 56.0,,2018-06-04 14:25:50,2018-06-04 14:25:52,2.231s,PASSED
setText,Firefox 56.0,,2018-06-04 14:25:52,2018-06-04 14:25:53,0.553s,PASSED
click,Firefox 56.0,,2018-06-04 14:25:53,2018-06-04 14:25:53,0.175s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:25:53,2018-06-04 14:25:53,0.045s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-04 14:25:53,2018-06-04 14:25:55,1.965s,PASSED
click,Firefox 56.0,,2018-06-04 14:25:53,2018-06-04 14:25:53,0.160s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:25:53,2018-06-04 14:25:55,1.715s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-04 14:25:55,2018-06-04 14:25:55,0.242s,PASSED
click,Firefox 56.0,,2018-06-04 14:25:55,2018-06-04 14:25:55,0.174s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-04 14:25:55,2018-06-04 14:25:55,0.321s,PASSED
click,Firefox 56.0,,2018-06-04 14:25:55,2018-06-04 14:25:55,0.240s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-04 14:25:55,2018-06-04 14:26:20,25.061s,PASSED
click,Firefox 56.0,,2018-06-04 14:25:55,2018-06-04 14:26:20,24.991s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-04 14:26:20,2018-06-04 14:26:23,2.225s,PASSED
click,Firefox 56.0,,2018-06-04 14:26:20,2018-06-04 14:26:21,0.250s,PASSED
click,Firefox 56.0,,2018-06-04 14:26:21,2018-06-04 14:26:23,1.893s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-04 14:26:23,2018-06-04 14:26:23,0.808s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:26:23,2018-06-04 14:26:23,0.123s,PASSED
getText,Firefox 56.0,,2018-06-04 14:26:23,2018-06-04 14:26:23,0.117s,PASSED
click,Firefox 56.0,,2018-06-04 14:26:23,2018-06-04 14:26:23,0.486s,PASSED
,,,,,,
Test Cases/Navigation to Offert Popup,Firefox 56.0,,2018-06-04 14:26:23,2018-06-04 14:26:26,2.168s,PASSED
click,Firefox 56.0,,2018-06-04 14:26:23,2018-06-04 14:26:26,2.103s,PASSED
,,,,,,
Test Cases/Fill into Offert Form,Firefox 56.0,,2018-06-04 14:26:26,2018-06-04 14:26:27,1.300s,PASSED
click,Firefox 56.0,,2018-06-04 14:26:26,2018-06-04 14:26:26,0.362s,PASSED
click,Firefox 56.0,,2018-06-04 14:26:26,2018-06-04 14:26:26,0.217s,PASSED
selectOptionByLabel,Firefox 56.0,,2018-06-04 14:26:26,2018-06-04 14:26:27,0.479s,PASSED
click,Firefox 56.0,,2018-06-04 14:26:27,2018-06-04 14:26:27,0.171s,PASSED
,,,,,,
Test Cases/Accept OFFERTFORFRAGAN popup,Firefox 56.0,,2018-06-04 14:26:27,2018-06-04 14:27:01,33.799s,FAILED
click,Firefox 56.0,,2018-06-04 14:26:27,2018-06-04 14:27:01,33.735s,FAILED
,,,,,,
Test Cases/Move to Compilation Page,Firefox 56.0,,2018-06-04 14:27:01,2018-06-04 14:27:34,33.470s,FAILED
scrollToElement,Firefox 56.0,,2018-06-04 14:27:01,2018-06-04 14:27:34,33.396s,FAILED
,,,,,,
Test Cases/Visit Seller Portal,Firefox 56.0,,2018-06-04 14:27:34,2018-06-04 14:28:00,26.204s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:27:34,2018-06-04 14:28:00,25.879s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:28:00,2018-06-04 14:28:00,0.261s,PASSED
,,,,,,
Test Cases/Seller Login,Firefox 56.0,,2018-06-04 14:28:00,2018-06-04 14:28:08,7.518s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:00,2018-06-04 14:28:01,0.369s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:28:01,2018-06-04 14:28:01,0.233s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:01,2018-06-04 14:28:02,0.621s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:28:02,2018-06-04 14:28:02,0.162s,PASSED
click,Firefox 56.0,,2018-06-04 14:28:02,2018-06-04 14:28:08,6.015s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:28:08,2018-06-04 14:28:08,0.034s,PASSED
