Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-06-04 14:30:59,2018-06-04 14:33:35,2m - 35.287s,FAILED
,,,,,,
Test Cases/Clear cache,Firefox 56.0,,2018-06-04 14:31:00,2018-06-04 14:31:00,0.488s,PASSED
deleteAllCookies,Firefox 56.0,,2018-06-04 14:31:00,2018-06-04 14:31:00,0.264s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-06-04 14:31:00,2018-06-04 14:31:26,25.511s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:31:00,2018-06-04 14:31:10,10.086s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:31:10,2018-06-04 14:31:10,0.081s,PASSED
navigateToUrl,Firefox 56.0,,2018-06-04 14:31:10,2018-06-04 14:31:25,14.787s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:31:25,2018-06-04 14:31:25,0.118s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:25,2018-06-04 14:31:26,0.300s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-06-04 14:31:26,2018-06-04 14:31:32,6.861s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:26,2018-06-04 14:31:27,1.690s,PASSED
setText,Firefox 56.0,,2018-06-04 14:31:27,2018-06-04 14:31:30,2.374s,PASSED
setText,Firefox 56.0,,2018-06-04 14:31:30,2018-06-04 14:31:30,0.143s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:30,2018-06-04 14:31:30,0.397s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:31:30,2018-06-04 14:31:32,2.165s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-06-04 14:31:32,2018-06-04 14:31:34,2.034s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:33,2018-06-04 14:31:33,0.207s,PASSED
waitForElementVisible,Firefox 56.0,,2018-06-04 14:31:33,2018-06-04 14:31:34,1.704s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-06-04 14:31:34,2018-06-04 14:31:35,0.223s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:35,2018-06-04 14:31:35,0.153s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-06-04 14:31:35,2018-06-04 14:31:35,0.274s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:35,2018-06-04 14:31:35,0.203s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-06-04 14:31:35,2018-06-04 14:31:58,23.431s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:35,2018-06-04 14:31:58,23.367s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-06-04 14:31:58,2018-06-04 14:32:01,2.810s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:58,2018-06-04 14:31:59,0.227s,PASSED
click,Firefox 56.0,,2018-06-04 14:31:59,2018-06-04 14:32:01,2.497s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-06-04 14:32:01,2018-06-04 14:32:02,0.415s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:32:01,2018-06-04 14:32:01,0.057s,PASSED
getText,Firefox 56.0,,2018-06-04 14:32:01,2018-06-04 14:32:01,0.091s,PASSED
click,Firefox 56.0,,2018-06-04 14:32:01,2018-06-04 14:32:02,0.171s,PASSED
,,,,,,
Test Cases/Navigation to Offert Popup,Firefox 56.0,,2018-06-04 14:32:02,2018-06-04 14:32:04,2.179s,PASSED
click,Firefox 56.0,,2018-06-04 14:32:02,2018-06-04 14:32:04,2.114s,PASSED
,,,,,,
Test Cases/Fill into Offert Form,Firefox 56.0,,2018-06-04 14:32:04,2018-06-04 14:32:05,1.099s,PASSED
click,Firefox 56.0,,2018-06-04 14:32:04,2018-06-04 14:32:04,0.375s,PASSED
click,Firefox 56.0,,2018-06-04 14:32:04,2018-06-04 14:32:04,0.181s,PASSED
selectOptionByLabel,Firefox 56.0,,2018-06-04 14:32:04,2018-06-04 14:32:05,0.318s,PASSED
click,Firefox 56.0,,2018-06-04 14:32:05,2018-06-04 14:32:05,0.158s,PASSED
,,,,,,
Test Cases/Accept OFFERTFORFRAGAN popup,Firefox 56.0,,2018-06-04 14:32:05,2018-06-04 14:32:38,33.514s,FAILED
click,Firefox 56.0,,2018-06-04 14:32:05,2018-06-04 14:32:38,33.447s,FAILED
,,,,,,
Test Cases/Move to Compilation Page,Firefox 56.0,,2018-06-04 14:32:38,2018-06-04 14:33:12,33.230s,FAILED
scrollToElement,Firefox 56.0,,2018-06-04 14:32:38,2018-06-04 14:33:12,33.160s,FAILED
,,,,,,
Test Cases/Visit Seller Portal,Firefox 56.0,,2018-06-04 14:33:12,2018-06-04 14:33:27,15.254s,PASSED
openBrowser,Firefox 56.0,,2018-06-04 14:33:12,2018-06-04 14:33:27,15.100s,PASSED
maximizeWindow,Firefox 56.0,,2018-06-04 14:33:27,2018-06-04 14:33:27,0.087s,PASSED
,,,,,,
Test Cases/Seller Login,Firefox 56.0,,2018-06-04 14:33:27,2018-06-04 14:33:35,7.611s,PASSED
click,Firefox 56.0,,2018-06-04 14:33:27,2018-06-04 14:33:27,0.320s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:33:27,2018-06-04 14:33:28,0.236s,PASSED
click,Firefox 56.0,,2018-06-04 14:33:28,2018-06-04 14:33:28,0.415s,PASSED
sendKeys,Firefox 56.0,,2018-06-04 14:33:28,2018-06-04 14:33:28,0.132s,PASSED
click,Firefox 56.0,,2018-06-04 14:33:28,2018-06-04 14:33:34,6.384s,PASSED
waitForPageLoad,Firefox 56.0,,2018-06-04 14:33:34,2018-06-04 14:33:35,0.032s,PASSED
